the	definite-article,adverb
of	preposition,auxiliary-verb
and	conjunction
to	preposition,adverb
a	indefinite-article,noun,preposition
in	preposition,adverb
is	verb
you	pronoun,noun
are	verb
for	preposition,conjunction
that	pronoun,adjective,adverb,conjunction
or	conjunction
it	pronoun,noun
as	adverb,conjunction,pronoun,preposition
be	verb,auxiliary-verb
on	preposition,adverb,adjective
your	pronoun
with	preposition
can	auxiliary-verb,noun
have	verb,auxiliary-verb
this	pronoun,adjective,adverb
an	indefinite-article
by	preposition,adverb
not	adverb
but	conjunction,preposition,adverb,noun
at	preposition
from	preposition
I	pronoun
they	pronoun
more	adjective,adverb
will	auxiliary-verb,noun
if	conjunction,noun
some	adjective,pronoun,adverb
there	adverb,pronoun,noun,adjective
what	pronoun,adjective,adverb,interjection
about	preposition,adverb,adjective
which	pronoun,adjective
when	adverb,conjunction
one	adjective,noun,pronoun
their	pronoun
all	adjective,pronoun,noun,adverb
also	adverb
how	adverb,conjunction
many	adjective,noun,pronoun
do	auxiliary-verb
has	verb
most	adjective,noun,adverb
people	noun
other	adjective,noun,pronoun,adverb
time	noun,adjective,verb
so	adverb,conjunction,pronoun,adjective
was	past,verb
we	pronoun
these	pronoun,adjective
may	auxiliary-verb
like	preposition,verb,conjunction,adverb
use	verb,noun
into	preposition
than	conjunction
up	adverb,preposition,adjective,noun
out	adverb,preposition,adjective,interjection
who	pronoun
them	pronoun
make	verb,noun
because	conjunction
such	adjective,adverb
through	preposition,adverb,adjective
get	verb
work	noun,adjective,verb
even	adjective,verb,adverb
different	adjective
its	pronoun
no	adverb,adjective,noun
our	pronoun
new	adjective,adverb
film	noun,verb
just	adjective,adverb
only	adverb,adjective,conjunction
see	verb
used	adjective
good	adjective,noun,adverb,interjection
water	noun,verb,adjective
been	past,verb
need	verb
should	auxiliary-verb
very	adverb
any	adjective,adverb
history	noun
often	adverb
way	noun
well	adverb,verb,noun,interjection
art	noun
know	verb
were	past,verb
then	adverb,adjective
my	pronoun
first	adverb,adjective
would	verb
money	noun,adjective
each	adjective,adverb
over	preposition,adjective,noun
world	noun
information	noun
map	noun
find	verb
where	adverb,pronoun,noun
much	adjective,adverb
take	verb
two	noun
want	verb
important	adjective
family	noun
those	pronoun
example	noun,verb
while	noun,conjunction,preposition,verb
he	pronoun
look	verb,noun,interjection
government	noun
before	preposition,adverb,conjunction
help	verb,noun,interjection
between	preposition,adverb
go	verb,noun,adjective,interjection
own	adjective,verb
however	adverb
business	noun,adjective
us	pronoun
great	adjective,noun,adverb,interjection
his	pronoun,adjective
being	verb,noun
another	adjective,pronoun
health	noun
same	adjective,pronoun,adverb
study	noun,verb
why	adverb,conjunction,noun,interjection
few	adjective,noun,pronoun
game	noun,adjective,verb
might	auxiliary-verb,noun
think	verb,adjective,noun
free	adjective,adverb,verb
too	adverb
had	auxiliary-verb
hi	interjection
right	adjective,adverb,noun,verb
still	adjective,noun,adverb,verb
system	noun
after	preposition,adjective,adverb
computer	noun
best	adjective,adverb,noun,verb
must	auxiliary-verb,verb,adjective,noun
her	pronoun
life	noun,adjective
since	preposition,adverb,conjunction
could	auxiliary-verb
does	verb
now	adverb,conjunction,adjective
during	preposition
learn	verb
around	adverb,preposition
usually	adverb
form	noun,verb
meat	noun
air	noun,verb
day	noun,adjective
place	noun,verb
become	verb
number	noun,verb
public	adjective,noun
read	verb,noun
keep	verb,noun
part	noun,verb,adverb
start	verb,noun
year	noun
every	adjective
field	noun,verb,adjective
large	adjective
once	adverb,conjunction
available	adjective
down	adverb,preposition,adjective,verb
give	verb,noun
fish	noun,verb
human	adjective,noun
both	adjective,adverb
local	adjective,noun
sure	adjective,adverb
something	pronoun
without	preposition,adverb,conjunction
come	verb
me	pronoun
back	noun,adverb,verb,adjective
better	adjective,adverb,noun,verb
general	adjective,noun
process	noun,verb
she	pronoun,noun
heat	noun,verb
thanks	noun
specific	adjective,noun
enough	adjective,adverb,interjection
long	adjective,noun,adverb,verb
lot	pronoun,adverb,noun,verb
hand	noun,verb
popular	adjective
small	adjective,adverb
though	conjunction,adverb
experience	noun,verb
include	verb
job	noun,verb
music	noun
person	noun
really	adverb
although	conjunction
thank	verb
book	noun,verb
early	adverb
reading	noun
end	noun,verb
method	noun
never	adverb
less	adjective,adverb,preposition
play	verb,noun
able	adjective
data	noun
feel	verb,noun
high	adjective,noun,adverb
off	adverb,preposition,adjective,noun
point	noun,verb
type	noun,verb
whether	conjunction
food	noun
understanding	noun
here	adverb,interjection
home	noun,adjective,adverb,verb
certain	adjective,pronoun
economy	noun,adjective
little	adjective,adverb
theory	noun
tonight	adverb,noun
law	noun
put	verb,noun
under	preposition,adverb,adjective
value	noun,verb
always	adverb
body	noun,verb
common	adjective,noun
market	noun,verb
set	verb,noun,adjective
bird	noun
guide	noun,verb
provide	verb
change	verb,noun
interest	noun,verb
literature	noun
sometimes	adverb
problem	noun
say	verb,interjection,noun
next	adjective,adverb,noun
create	verb
simple	adjective,noun
software	noun
state	noun,verb
together	adverb
control	noun
knowledge	noun
power	noun
radio	noun,verb
ability	noun
basic	adjective
